0,0,4,PIDs supported [01 - 20],,,,Bit encoded [A7..D0] == [PID $01..PID $20] See below
1,1,4,Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.),,,,Bit encoded. See below
2,2,2,Freeze DTC,,,,
3,3,2,Fuel system status,,,,Bit encoded. See below
4,4,1,Calculated engine load,0,100,?%,100 255 A {\displaystyle {\tfrac {100}{255}}A} (or A 2.55 {\displaystyle {\tfrac {A}{2.55}}} )
5,5,1,Engine coolant temperature,-40,215,¡ÆC,A ? 40 {\displaystyle A-40} 
6,6,1,Short term fuel trim-Bank 1,-100 (Reduce Fuel: Too Rich),99.2 (Add Fuel: Too Lean),?%,100 128 A ? 100 {\displaystyle {\frac {100}{128}}A-100}
7,7,1,Long term fuel trim-Bank 1,,,,
8,8,1,Short term fuel trim-Bank 2,,,,(or A 1.28 ? 100 {\displaystyle {\tfrac {A}{1.28}}-100} 
9,9,1,Long term fuel trim-Bank 2,,,,)
0A,10,1,Fuel pressure (gauge pressure),0,765,kPa,3 A {\displaystyle 3A} 
0B,11,1,Intake manifold absolute pressure,0,255,kPa,A {\displaystyle A} 
0C,12,2,Engine RPM,0,"16,383.75",rpm,256 A + B 4 {\displaystyle {\frac {256A+B}{4}}} 
0D,13,1,Vehicle speed,0,255,km/h,A {\displaystyle A} 
0E,14,1,Timing advance,-64,63.5,¡Æ before TDC,A 2 ? 64 {\displaystyle {\frac {A}{2}}-64} 
0F,15,1,Intake air temperature,-40,215,¡ÆC,A ? 40 {\displaystyle A-40} 
10,16,2,MAF air flow rate,0,655.35,grams/sec,256 A + B 100 {\displaystyle {\frac {256A+B}{100}}} 
11,17,1,Throttle position,0,100,?%,100 255 A {\displaystyle {\tfrac {100}{255}}A} 
12,18,1,Commanded secondary air status,,,,Bit encoded. See below
13,19,1,Oxygen sensors present (in 2 banks),,,,"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2..."
14,20,2,Oxygen Sensor 1,0,1.275,volts,A 200 {\displaystyle {\frac {A}{200}}}
15,21,2,Oxygen Sensor 2,,,,100 128 B ? 100 {\displaystyle {\frac {100}{128}}B-100}
16,22,2,Oxygen Sensor 3,,,,"(if B==$FF, sensor is not used in trim calculation)"
17,23,2,Oxygen Sensor 4,,,,
18,24,2,Oxygen Sensor 5,,,,
19,25,2,Oxygen Sensor 6,,,,
1A,26,2,Oxygen Sensor 7,,,,
1B,27,2,Oxygen Sensor 8,,,,
1C,28,1,OBD standards this vehicle conforms to,,,,Bit encoded. See below
1D,29,1,Oxygen sensors present (in 4 banks),,,,"Similar to PID 13, but [A0..A7] == [B1S1, B1S2, B2S1, B2S2, B3S1, B3S2, B4S1, B4S2]"
1E,30,1,Auxiliary input status,,,,A0 == Power Take Off (PTO) status (1 == active)
1F,31,2,Run time since engine start,0,"65,535",seconds,256 A + B {\displaystyle 256A+B} 
20,32,4,PIDs supported [21 - 40],,,,Bit encoded [A7..D0] == [PID $21..PID $40] See below
21,33,2,Distance traveled with malfunction indicator lamp (MIL) on,0,"65,535",km,256 A + B {\displaystyle 256A+B} 
22,34,2,Fuel Rail Pressure (relative to manifold vacuum),0,5177.265,kPa,0.079 ( 256 A + B ) {\displaystyle 0.079(256A+B)} 
23,35,2,"Fuel Rail Gauge Pressure (diesel, or gasoline direct injection)",0,"655,350",kPa,10 ( 256 A + B ) {\displaystyle 10(256A+B)} 
24,36,4,Oxygen Sensor 1,0,< 2,ratio,2 65536 ( 256 A + B ) {\displaystyle {\frac {2}{65536}}(256A+B)}
25,37,4,Oxygen Sensor 2,,,,8 65536 ( 256 C + D ) {\displaystyle {\frac {8}{65536}}(256C+D)}
26,38,4,Oxygen Sensor 3,,,,
27,39,4,Oxygen Sensor 4,,,,
28,40,4,Oxygen Sensor 5,,,,
29,41,4,Oxygen Sensor 6,,,,
2A,42,4,Oxygen Sensor 7,,,,
2B,43,4,Oxygen Sensor 8,,,,
2C,44,1,Commanded EGR,0,100,?%,100 255 A {\displaystyle {\tfrac {100}{255}}A} 
2D,45,1,EGR Error,-100,99.2,?%,100 128 A ? 100 {\displaystyle {\tfrac {100}{128}}A-100} 
2E,46,1,Commanded evaporative purge,0,100,?%,100 255 A {\displaystyle {\tfrac {100}{255}}A} 
2F,47,1,Fuel Tank Level Input,0,100,?%,100 255 A {\displaystyle {\tfrac {100}{255}}A} 
30,48,1,Warm-ups since codes cleared,0,255,count,A {\displaystyle A} 
31,49,2,Distance traveled since codes cleared,0,"65,535",km,256 A + B {\displaystyle 256A+B} 
